8383242;541;555;554;;
8383243;561;574;568;570;562
8383244;576;587;585;580;
8383245;590;594;598;600;
8383246;606;624;614;;
8383247;631;628;634;;
8383248;744;748;746;749;
8383249;637;641;643;;
8383250;647;654;;;
8383251;657;660;663;;
8383252;666;669;680;677;673
8383253;682;687;695;688;
8383254;696;699;;;
8383255;713;707;;;
8383256;719;720;;;
8383257;723;727;729;;
8383258;730;;
8383259;734;739;741
